tm_id,dfl_id,club_name,shirt_number,full_name_tm,date_of_birth,position,saison
70285,NULL,"SC Freiburg",7,JonathanSchmid,NULL,"Mittelfeld - Rechtes Mittelfeld",2022_2023
72792,NULL,"1.FC Union Berlin",23,NikoGießelmann,NULL,"Abwehr - Linker Verteidiger",2022_2023
73013,NULL,"FC Schalke 04",NULL,Pierre-MichelLasogga,NULL,"Sturm - Mittelstürmer",2024_2025
73517,NULL,"RB Leipzig",13,ØrjanNyland,NULL,Torwart,2022_2023
74842,NULL,"Eintracht Frankfurt",27,MarioGötze,NULL,"Mittelfeld - Offensives Mittelfeld",2022_2023
74842,NULL,"Eintracht Frankfurt",27,MarioGötze,NULL,"Mittelfeld - Offensives Mittelfeld",2023_2024
74842,NULL,"Eintracht Frankfurt",27,MarioGötze,NULL,"Mittelfeld - Offensives Mittelfeld",2024_2025
74842,NULL,"Eintracht Frankfurt",27,MarioGötze,NULL,"Mittelfeld - Offensives Mittelfeld",2025_2026
75489,NULL,"SV Werder Bremen",11,NiclasFüllkrug,NULL,"Sturm - Mittelstürmer",2022_2023
75489,NULL,"SV Werder Bremen",11,NiclasFüllkrug,NULL,"Sturm - Mittelstürmer",2023_2024
75921,NULL,"1.FC Union Berlin",28,ChristopherTrimmel,NULL,"Abwehr - Rechter Verteidiger",2022_2023
75921,NULL,"1.FC Union Berlin",28,ChristopherTrimmel,NULL,"Abwehr - Rechter Verteidiger",2023_2024
75921,NULL,"1.FC Union Berlin",28,ChristopherTrimmel,NULL,"Abwehr - Rechter Verteidiger",2024_2025
75921,NULL,"1.FC Union Berlin",28,ChristopherTrimmel,NULL,"Abwehr - Rechter Verteidiger",2025_2026
76158,NULL,"Borussia Dortmund",33,AlexanderMeyer,NULL,Torwart,2022_2023
76158,NULL,"Borussia Dortmund",33,AlexanderMeyer,NULL,Torwart,2023_2024
76158,NULL,"Borussia Dortmund",33,AlexanderMeyer,NULL,Torwart,2024_2025
76158,NULL,"Borussia Dortmund",33,AlexanderMeyer,NULL,Torwart,2025_2026
78339,NULL,"FC Augsburg",1,RafałGikiewicz,NULL,Torwart,2022_2023
78950,NULL,"Hamburger SV",10,SonnyKittel,NULL,"Mittelfeld - Offensives Mittelfeld",2022_2023
79377,NULL,"1.FC Union Berlin",NULL,GenkiHaraguchi,NULL,"Mittelfeld - Offensives Mittelfeld",2022_2023
79377,NULL,"VfB Stuttgart",17,GenkiHaraguchi,NULL,"Mittelfeld - Offensives Mittelfeld",2023_2024
81173,NULL,"RB Leipzig",21,JanisBlaswich,NULL,Torwart,2022_2023
81173,NULL,"RB Leipzig",21,JanisBlaswich,NULL,Torwart,2023_2024
81173,NULL,"Bayer 04 Leverkusen",28,JanisBlaswich,NULL,Torwart,2025_2026
81789,NULL,"FC Schalke 04",4,MayaYoshida,NULL,"Abwehr - Innenverteidiger",2022_2023
82009,NULL,"1.FC Union Berlin",10,KevinVolland,NULL,"Mittelfeld - Offensives Mittelfeld",2023_2024
82009,NULL,"1.FC Union Berlin",10,KevinVolland,NULL,"Mittelfeld - Offensives Mittelfeld",2024_2025
82097,NULL,"Borussia Mönchengladbach",6,ChristophKramer,NULL,"Mittelfeld - Defensives Mittelfeld",2022_2023
82097,NULL,"Borussia Mönchengladbach",23,ChristophKramer,NULL,"Mittelfeld - Defensives Mittelfeld",2023_2024
82350,NULL,"1.FSV Mainz 05",16,StefanBell,NULL,"Abwehr - Innenverteidiger",2022_2023
82350,NULL,"1.FSV Mainz 05",16,StefanBell,NULL,"Abwehr - Innenverteidiger",2023_2024
82350,NULL,"1.FSV Mainz 05",16,StefanBell,NULL,"Abwehr - Innenverteidiger",2024_2025
82350,NULL,"1.FSV Mainz 05",16,StefanBell,NULL,"Abwehr - Innenverteidiger",2025_2026
82526,NULL,"SV 07 Elversberg",35,NicoAntonitsch,NULL,"Abwehr - Innenverteidiger",2022_2023
82526,NULL,"SV 07 Elversberg",35,NicoAntonitsch,NULL,"Abwehr - Innenverteidiger",2023_2024
82873,NULL,"Borussia Dortmund",13,PascalGroß,NULL,"Mittelfeld - Zentrales Mittelfeld",2024_2025
82873,NULL,"Borussia Dortmund",NULL,PascalGroß,NULL,"Mittelfeld - Zentrales Mittelfeld",2025_2026
84085,NULL,"FC Schalke 04",15,TimothéeKolodziejczak,NULL,"Abwehr - Innenverteidiger",2022_2023
84435,NULL,"TSG 1899 Hoffenheim",22,KevinVogt,NULL,"Abwehr - Innenverteidiger",2022_2023
84435,NULL,"1.FC Union Berlin",2,KevinVogt,NULL,"Abwehr - Innenverteidiger",2023_2024
84435,NULL,"1.FC Union Berlin",2,KevinVogt,NULL,"Abwehr - Innenverteidiger",2024_2025
84938,NULL,"1.FC Köln",1,TimoHorn,NULL,Torwart,2022_2023
84993,NULL,"Hamburger SV",1,"DanielHeuer Fernandes",NULL,Torwart,2022_2023
84993,NULL,"Hamburger SV",1,"DanielHeuer Fernandes",NULL,Torwart,2023_2024
84993,NULL,"Hamburger SV",1,"DanielHeuer Fernandes",NULL,Torwart,2024_2025
84993,NULL,"Hamburger SV",1,"DanielHeuer Fernandes",NULL,Torwart,2025_2026
85534,NULL,"SV 07 Elversberg",28,TimBoss,NULL,Torwart,2023_2024
85534,NULL,"SV 07 Elversberg",28,TimBoss,NULL,Torwart,2024_2025
85534,NULL,"SV 07 Elversberg",28,TimBoss,NULL,Torwart,2025_2026
