tm_id,saison,market_value_eur,last_updated,updated_at
75489,2022_2023,4000000,NULL,2022-09-21
75489,2022_2023,5000000,NULL,2022-11-09
75489,2022_2023,10000000,NULL,2022-12-23
75489,2023_2024,13000000,NULL,2023-03-29
75489,2023_2024,13000000,NULL,2023-06-22
75489,2023_2024,13000000,NULL,2023-12-14
75921,2022_2023,900000,NULL,2022-06-09
75921,2022_2023,800000,NULL,2022-11-09
75921,2023_2024,800000,NULL,2023-06-22
75921,2023_2024,800000,NULL,2023-12-14
75921,2024_2025,600000,NULL,2024-05-29
75921,2024_2025,600000,NULL,2024-12-20
75921,2025_2026,600000,NULL,2025-06-05
75921,2025_2026,600000,NULL,2025-12-19
76158,2022_2023,700000,NULL,2022-06-16
76158,2022_2023,1000000,NULL,2022-09-21
76158,2022_2023,1000000,NULL,2022-11-09
76158,2023_2024,1000000,NULL,2023-06-22
76158,2023_2024,800000,NULL,2023-12-14
76158,2024_2025,800000,NULL,2024-05-29
76158,2024_2025,800000,NULL,2024-12-20
76158,2025_2026,800000,NULL,2025-06-05
76158,2025_2026,800000,NULL,2025-12-19
78339,2022_2023,1200000,NULL,2022-06-09
78339,2022_2023,1200000,NULL,2022-11-09
78950,2022_2023,2400000,NULL,2022-06-16
78950,2022_2023,1800000,NULL,2022-09-28
78950,2022_2023,1500000,NULL,2022-11-30
79377,2022_2023,2500000,NULL,2022-06-09
79377,2022_2023,2000000,NULL,2022-11-09
79377,2023_2024,1000000,NULL,2023-06-22
79377,2023_2024,700000,NULL,2023-12-14
81173,2022_2023,800000,NULL,2022-01-05
81173,2022_2023,800000,NULL,2022-06-08
81173,2022_2023,1000000,NULL,2022-11-09
81173,2023_2024,2000000,NULL,2023-03-29
81173,2023_2024,2500000,NULL,2023-06-22
81173,2023_2024,4000000,NULL,2023-10-18
81173,2023_2024,4000000,NULL,2023-12-14
81173,2025_2026,700000,NULL,2025-06-06
81173,2025_2026,700000,NULL,2025-12-19
81789,2022_2023,1500000,NULL,2022-06-07
81789,2022_2023,1500000,NULL,2022-11-09
82009,2023_2024,10000000,NULL,2023-03-27
82009,2023_2024,8000000,NULL,2023-06-27
82009,2023_2024,6000000,NULL,2023-10-18
82009,2023_2024,5000000,NULL,2023-12-14
82009,2024_2025,4000000,NULL,2024-05-29
82009,2024_2025,2500000,NULL,2024-12-20
82097,2022_2023,2500000,NULL,2022-06-09
82097,2022_2023,2500000,NULL,2022-11-09
82097,2023_2024,2500000,NULL,2023-06-22
82097,2023_2024,2000000,NULL,2023-12-14
82350,2022_2023,2500000,NULL,2022-06-09
82350,2022_2023,2500000,NULL,2022-11-09
82350,2023_2024,2000000,NULL,2023-06-22
82350,2023_2024,1000000,NULL,2023-12-14
82350,2024_2025,800000,NULL,2024-05-29
82350,2024_2025,800000,NULL,2024-12-20
82350,2025_2026,800000,NULL,2025-06-05
82350,2025_2026,600000,NULL,2025-12-19
82526,2022_2023,250000,NULL,2022-06-16
82526,2022_2023,200000,NULL,2022-12-08
82526,2023_2024,250000,NULL,2023-03-30
82526,2023_2024,250000,NULL,2023-06-13
82526,2023_2024,250000,NULL,2023-12-15
82873,2024_2025,8000000,NULL,2024-05-27
82873,2024_2025,7000000,NULL,2024-12-20
82873,2025_2026,5000000,NULL,2025-06-05
82873,2025_2026,3500000,NULL,2025-12-19
84085,2022_2023,2500000,NULL,2022-05-30
84085,2022_2023,2000000,NULL,2022-10-07
84435,2022_2023,3500000,NULL,2022-06-09
84435,2022_2023,3500000,NULL,2022-11-09
84435,2023_2024,2500000,NULL,2023-06-22
84435,2023_2024,2500000,NULL,2023-12-14
84435,2024_2025,2000000,NULL,2024-05-29
84435,2024_2025,2000000,NULL,2024-12-20
84938,2022_2023,2800000,NULL,2022-03-24
84938,2022_2023,2000000,NULL,2022-06-09
84938,2022_2023,1500000,NULL,2022-11-09
84993,2022_2023,900000,NULL,2022-03-23
84993,2022_2023,900000,NULL,2022-06-16
84993,2022_2023,1200000,NULL,2022-09-28
84993,2022_2023,1200000,NULL,2022-11-30
84993,2023_2024,1200000,NULL,2023-06-28
84993,2023_2024,1200000,NULL,2023-12-15
84993,2024_2025,900000,NULL,2024-03-22
84993,2024_2025,700000,NULL,2024-06-06
84993,2024_2025,700000,NULL,2024-12-19
84993,2025_2026,900000,NULL,2025-06-19
84993,2025_2026,1200000,NULL,2025-10-14
84993,2025_2026,1200000,NULL,2025-12-19
85534,2023_2024,200000,NULL,2023-06-28
85534,2023_2024,200000,NULL,2023-12-15
85534,2024_2025,200000,NULL,2024-06-06
85534,2024_2025,200000,NULL,2024-12-19
85534,2025_2026,200000,NULL,2025-06-19
85534,2025_2026,200000,NULL,2025-12-16
85543,2022_2023,250000,NULL,2022-06-09
85543,2022_2023,250000,NULL,2022-11-09
85543,2023_2024,250000,NULL,2023-06-22
85543,2023_2024,250000,NULL,2023-12-14
85543,2024_2025,250000,NULL,2024-05-29
85543,2024_2025,250000,NULL,2024-12-20
