tm_id,full_name_tm,date_of_birth,club_name,shirt_number,season,market_value_eur,last_updated
290587,"Ellyes Skhiri",1995-05-10,"Eintracht Frankfurt",15,2023/2024,5000000,2026-05-27
684315,"Nnamdi Collins",2004-01-10,"Eintracht Frankfurt",34,2023/2024,20000000,2026-05-27
536482,"Junior Dina Ebimbe",2000-11-21,"Eintracht Frankfurt",NULL,2023/2024,6000000,2026-06-01
571299,"Hrvoje Smolcic",2000-08-17,"Eintracht Frankfurt",NULL,2023/2024,2000000,2026-05-21
448177,"Jessic Ngankam",2000-07-20,"Eintracht Frankfurt",NULL,2023/2024,700000,2026-05-26
429874,"Ansgar Knauff",2002-01-10,"Eintracht Frankfurt",7,2023/2024,15000000,2026-05-27
691892,"Nathaniel Brown",2003-06-16,"Eintracht Frankfurt",21,2023/2024,40000000,2026-05-27
49723,"Timothy Chandler",1990-03-29,"Eintracht Frankfurt",22,2023/2024,350000,2026-05-27
939964,"Jean-Mattéo Bahoya",2005-05-07,"Eintracht Frankfurt",19,2023/2024,25000000,2026-05-27
816585,"Can Uzun",2005-11-11,"Eintracht Frankfurt",42,2023/2024,45000000,2026-05-27
196813,"Michael Zetterer",1995-07-12,"Eintracht Frankfurt",23,2023/2024,4000000,2026-05-27
333647,"Jonathan Burkardt",2000-07-11,"Eintracht Frankfurt",9,2023/2024,30000000,2026-05-27
328784,"Robin Koch",1996-07-17,"Eintracht Frankfurt",4,2023/2024,10000000,2026-05-27
675535,"Noel Futkeu",2002-12-06,"Eintracht Frankfurt",NULL,2023/2024,7500000,2026-06-01
659542,"Elye Wahi",2003-01-02,"Eintracht Frankfurt",NULL,2023/2024,18000000,2026-06-01
591193,"Niels Nkounkou",2000-11-01,"Eintracht Frankfurt",NULL,2023/2024,2600000,2026-05-29
1184986,"Love Arrhov",2008-05-17,"Eintracht Frankfurt",31,2023/2024,5000000,2026-05-27
74842,"Mario Götze",1992-06-03,"Eintracht Frankfurt",27,2023/2024,3000000,2026-05-27
40034,"Jens Grahl",1988-09-22,"Eintracht Frankfurt",33,2023/2024,200000,2026-05-27
997861,"Kauã Santos",2003-04-11,"Eintracht Frankfurt",40,2023/2024,7000000,2026-05-27
846310,"Oscar Højlund",2005-01-04,"Eintracht Frankfurt",6,2023/2024,15000000,2026-05-27
855015,"Farès Chaïbi",2002-11-28,"Eintracht Frankfurt",8,2023/2024,15000000,2026-05-27
726120,"Simon Simoni",2004-07-14,"Eintracht Frankfurt",NULL,2023/2024,600000,2026-06-01
358504,"Ritsu Doan",1998-06-16,"Eintracht Frankfurt",20,2023/2024,17000000,2026-05-27
1146988,"Keita Kosugi",2006-03-18,"Eintracht Frankfurt",26,2023/2024,5000000,2026-05-27
179184,"Michy Batshuayi",1993-10-02,"Eintracht Frankfurt",30,2023/2024,2000000,2026-05-27
799993,"Ayoube Amaimouni-Echghouyab",2004-11-30,"Eintracht Frankfurt",29,2023/2024,10000000,2026-05-27
368891,"Arthur Theate",2000-05-25,"Eintracht Frankfurt",3,2023/2024,17000000,2026-05-27
635645,"Aurèle Amenda",2003-07-31,"Eintracht Frankfurt",5,2023/2024,10000000,2026-05-27
931838,"Hugo Larsson",2004-06-27,"Eintracht Frankfurt",16,2023/2024,28000000,2026-05-27
1067904,"Bazoumana Touré",2006-03-02,"TSG 1899 Hoffenheim",29,2023/2024,40000000,2026-05-27
934529,"Kelven Frees",2005-02-03,"TSG 1899 Hoffenheim",45,2023/2024,500000,2026-05-29
524290,"Fisnik Asllani",2002-08-08,"TSG 1899 Hoffenheim",11,2023/2024,35000000,2026-05-27
579459,"Albian Hajdari",2003-05-18,"TSG 1899 Hoffenheim",21,2023/2024,25000000,2026-05-27
789898,"Muhammed Damar",2004-04-09,"TSG 1899 Hoffenheim",10,2023/2024,5000000,2026-05-27
907277,"Sean Dulic",2005-06-05,"TSG 1899 Hoffenheim",NULL,2023/2024,1200000,2026-05-29
829838,"Hennes Behrens",2005-01-19,"TSG 1899 Hoffenheim",40,2023/2024,5000000,2026-05-27
618898,"Erencan Yardımcı",2002-02-04,"TSG 1899 Hoffenheim",53,2023/2024,1800000,2026-06-01
1018259,"Gift Orban",2002-07-17,"TSG 1899 Hoffenheim",14,2023/2024,7000000,2026-05-29
412953,"Wouter Burger",2001-02-16,"TSG 1899 Hoffenheim",18,2023/2024,20000000,2026-05-27
432671,"Luca Philipp",2000-11-28,"TSG 1899 Hoffenheim",37,2023/2024,750000,2026-05-27
1116191,"Luis Engelns",2007-03-11,"TSG 1899 Hoffenheim",16,2023/2024,4000000,2026-05-27
569387,"Valentin Gendrey",2000-06-21,"TSG 1899 Hoffenheim",15,2023/2024,6000000,2026-05-27
361260,"Ozan Kabak",2000-03-25,"TSG 1899 Hoffenheim",5,2023/2024,15000000,2026-05-27
251309,"Dennis Geiger",1998-06-10,"TSG 1899 Hoffenheim",NULL,2023/2024,1000000,2026-05-20
533295,"Patrick Wimmer",2001-05-30,"TSG 1899 Hoffenheim",8,2023/2024,12000000,2026-05-27
55089,"Oliver Baumann",1990-06-02,"TSG 1899 Hoffenheim",1,2023/2024,2500000,2026-05-27
1108022,"Deniz Zeitler",2006-12-13,"TSG 1899 Hoffenheim",38,2023/2024,4000000,2026-05-29
930998,"Yannick Eduardo",2006-01-23,"TSG 1899 Hoffenheim",31,2023/2024,2500000,2026-05-29
620217,"Robin Hranac",2000-01-29,"TSG 1899 Hoffenheim",2,2023/2024,10000000,2026-05-27
415035,"Koki Machida",1997-08-25,"TSG 1899 Hoffenheim",28,2023/2024,6000000,2026-05-27
667457,"Leon Avdullahu",2004-02-23,"TSG 1899 Hoffenheim",7,2023/2024,30000000,2026-05-27
875332,"Arthur Chaves",2001-01-29,"TSG 1899 Hoffenheim",35,2023/2024,5000000,2026-05-27
434116,"Alexander Prass",2001-05-26,"TSG 1899 Hoffenheim",22,2023/2024,9000000,2026-05-27
553285,"Tim Lemperle",2002-02-05,"TSG 1899 Hoffenheim",19,2023/2024,17000000,2026-05-27
1075143,"Natnael Abraha",2008-03-14,"TSG 1899 Hoffenheim",NULL,2023/2024,400000,2026-05-29
569031,"Umut Tohumcu",2004-08-11,"TSG 1899 Hoffenheim",17,2023/2024,3500000,2026-06-01
923595,"Max Moerstedt",2006-01-15,"TSG 1899 Hoffenheim",9,2023/2024,7000000,2026-05-27
263380,"Attila Szalai",1998-01-20,"TSG 1899 Hoffenheim",41,2023/2024,2000000,2026-06-04
1047136,"Cajetan Lenz",2006-06-16,"TSG 1899 Hoffenheim",32,2023/2024,10000000,2026-06-01
