tm_id,dfl_id,club_name,shirt_number,full_name_tm,date_of_birth,position,saison,age
78950,NULL,"Hamburger SV",10,SonnyKittel,1993-01-06,"Mittelfeld - Offensives Mittelfeld",2022_2023,33
79377,NULL,"1.FC Union Berlin",NULL,GenkiHaraguchi,1991-05-09,"Mittelfeld - Offensives Mittelfeld",2022_2023,35
79377,NULL,"VfB Stuttgart",17,GenkiHaraguchi,1991-05-09,"Mittelfeld - Offensives Mittelfeld",2023_2024,35
81173,NULL,"RB Leipzig",21,JanisBlaswich,1991-05-02,Torwart,2022_2023,35
81173,NULL,"RB Leipzig",21,JanisBlaswich,1991-05-02,Torwart,2023_2024,35
81173,NULL,"Bayer 04 Leverkusen",28,JanisBlaswich,1991-05-02,Torwart,2025_2026,35
81789,NULL,"FC Schalke 04",4,MayaYoshida,1988-08-24,"Abwehr - Innenverteidiger",2022_2023,37
82009,NULL,"1.FC Union Berlin",10,KevinVolland,1992-07-30,"Mittelfeld - Offensives Mittelfeld",2023_2024,33
82009,NULL,"1.FC Union Berlin",10,KevinVolland,1992-07-30,"Mittelfeld - Offensives Mittelfeld",2024_2025,33
82097,NULL,"Borussia Mönchengladbach",6,ChristophKramer,1991-02-19,"Mittelfeld - Defensives Mittelfeld",2022_2023,35
82097,NULL,"Borussia Mönchengladbach",23,ChristophKramer,1991-02-19,"Mittelfeld - Defensives Mittelfeld",2023_2024,35
82350,NULL,"1.FSV Mainz 05",16,StefanBell,1991-08-24,"Abwehr - Innenverteidiger",2022_2023,34
82350,NULL,"1.FSV Mainz 05",16,StefanBell,1991-08-24,"Abwehr - Innenverteidiger",2023_2024,34
82350,NULL,"1.FSV Mainz 05",16,StefanBell,1991-08-24,"Abwehr - Innenverteidiger",2024_2025,34
82350,NULL,"1.FSV Mainz 05",16,StefanBell,1991-08-24,"Abwehr - Innenverteidiger",2025_2026,34
82526,NULL,"SV 07 Elversberg",35,NicoAntonitsch,1991-09-30,"Abwehr - Innenverteidiger",2022_2023,34
82526,NULL,"SV 07 Elversberg",35,NicoAntonitsch,1991-09-30,"Abwehr - Innenverteidiger",2023_2024,34
82873,NULL,"Borussia Dortmund",13,PascalGroß,1991-06-15,"Mittelfeld - Zentrales Mittelfeld",2024_2025,35
82873,NULL,"Borussia Dortmund",NULL,PascalGroß,NULL,"Mittelfeld - Zentrales Mittelfeld",2025_2026,NULL
84085,NULL,"FC Schalke 04",15,TimothéeKolodziejczak,1991-10-01,"Abwehr - Innenverteidiger",2022_2023,34
